AirportID,Name,stadium_name,distance_km,City,Country,IATA,ICAO,airport_lat,airport_lon,Altitude,Timezone,DST,TzDatabaseTimezone,city_name,country,lat,lon
8291,Earl L. Small Jr. Field/Stockmar Airport,Mercedes-Benz Stadium,44.717571550959384,Villa Rica,United States,\N,20GA,33.756500244099996,-84.88469696039999,1110,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
8292,Cartersville Airport,Mercedes-Benz Stadium,58.147061670235004,Cartersville,United States,\N,KVPC,34.12310028076172,-84.84870147705078,759,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
8306,Peachtree City Falcon Field,Mercedes-Benz Stadium,46.969114629183295,Atlanta,United States,\N,KFFC,33.3572998046875,-84.5718002319336,808,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
8321,Mallards Landing Airport,Mercedes-Benz Stadium,48.48966823095273,Locust Grove,United States,\N,GA04,33.365699768066406,-84.16519927978516,837,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
8342,Fort Worth Alliance Airport,AT&T Stadium,33.978541230408034,Fort Worth,United States,AFW,KAFW,32.9875984192,-97.3188018799,722,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
8366,Lawrence Municipal Airport,Arrowhead Stadium,63.41959414283027,Lawrence,United States,LWC,KLWC,39.01119995,-95.21659851,833,-6,A,America/Chicago,Kansas City,USA,39.049,-94.484
8379,Pompano Beach Airpark,Hard Rock Stadium,34.590580785059146,Pompano Beach,United States,PPM,KPMP,26.247100830078,-80.111099243164,19,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
8446,Tacoma Narrows Airport,Lumen Field,40.80847994172695,Tacoma,United States,TIW,KTIW,47.26789856,-122.5780029,294,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
8504,Wings Field,Lincoln Financial Field,27.56695173649598,Philadelphia,United States,BBX,KLOM,40.1375007629,-75.2650985718,302,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
8513,Newnan Coweta County Airport,Mercedes-Benz Stadium,59.99458374183058,Newnan,United States,\N,KCCO,33.31159973144531,-84.7697982788086,970,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
8548,South Jersey Regional Airport,Lincoln Financial Field,27.876792398023213,Mount Holly,United States,LLY,KVAY,39.942901611299995,-74.845703125,53,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
8550,Linden Airport,MetLife Stadium,26.119132644666585,Linden,United States,LDJ,KLDJ,40.617401123,-74.2445983887,23,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
8658,Beverly Municipal Airport,Gillette Stadium,61.83370167682994,Beverly,United States,BVY,KBVY,42.584201812699995,-70.91649627689999,107,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
8665,Somerset Airport,MetLife Stadium,54.342035272613536,Somerville,United States,\N,KSMQ,40.625999450683594,-74.67019653320312,105,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
8772,Chester County G O Carlson Airport,Lincoln Financial Field,60.09453566068258,Coatesville,United States,CTH,KMQS,39.97900009,-75.8655014,660,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
8796,Renton Municipal Airport,Lumen Field,14.289613132623073,Renton,United States,RNT,KRNT,47.4930992126,-122.216003418,32,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
8798,Brackett Field,SoFi Stadium,53.597077926521735,La Verne,United States,POC,KPOC,34.091598510742,-117.78199768066,1011,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
8816,Newnan Hospital Heliport,Mercedes-Benz Stadium,55.71230679458928,Bengassi,Mali,\N,GA46,33.38090133666992,-84.8010025024414,960,0,N,Africa/Bamako,Atlanta,USA,33.755,-84.401
8864,Palo Alto Airport of Santa Clara County,Levi's Stadium,14.34061270129811,Palo Alto,United States,PAO,KPAO,37.461101532,-122.114997864,4,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
