camp_airport_dist_km,AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabaseTimezone,Type,team,city_camp,country_camp,camp_name,camp_lat,camp_long
21.698560910568084,3572,Ellington Airport,Houston,USA,EFD,KEFD,29.6072998047,-95.1587982178,32,-6,A,America/Chicago,airport,DR Congo,Houston,USA,Houston Training Centre,29.628,-95.382
66.89933765784488,3576,Miami International Airport,Miami,USA,MIA,KMIA,25.79319953918457,-80.29060363769531,8,-5,A,America/New_York,airport,Curaçao,Boca Raton,USA,Florida Atlantic University,26.3705,-80.102
8.337388500123017,3577,Seattle Tacoma International Airport,Seattle,USA,SEA,KSEA,47.449001,-122.308998,433,-8,A,America/Los_Angeles,airport,Belgium,Renton,USA,Seattle Sounders FC Performance Centre and Clubhouse,47.4995,-122.227
10.035734799657178,3578,Lovell Field,Chattanooga,USA,CHA,KCHA,35.035301208496094,-85.20379638671875,683,-5,A,America/New_York,airport,Spain,Chattanooga,USA,Baylor School,35.0822,-85.298
64.63321975985689,3581,Scholes International At Galveston Airport,Galveston,USA,GLS,KGLS,29.265300750732425,-94.8603973388672,6,-6,A,America/Chicago,airport,DR Congo,Houston,USA,Houston Training Centre,29.628,-95.382
41.34146509422376,3582,Long Beach /Daugherty Field/ Airport,Long Beach,USA,LGB,KLGB,33.81769943,-118.1520004,60,-8,A,America/Los_Angeles,airport,USA,Irvine,USA,Great Park Sports Complex,33.6713,-117.741
42.20676944688078,3589,Westchester County Airport,White Plains,USA,HPN,KHPN,41.06700134277344,-73.70760345458984,439,-5,A,America/New_York,airport,Brazil,New York New Jersey,USA,Columbia Park Training Facility,40.792,-74.0539
24.79803894066644,3593,Palm Beach County Park Airport,West Palm Beach,USA,LNA,KLNA,26.59300041,-80.08509827,14,-5,A,America/New_York,airport,Curaçao,Boca Raton,USA,Florida Atlantic University,26.3705,-80.102
33.559499847894685,3593,Palm Beach County Park Airport,West Palm Beach,USA,LNA,KLNA,26.59300041,-80.08509827,14,-5,A,America/New_York,airport,Portugal,Palm Beach Gardens,USA,Gardens North County District Park,26.8915,-80.135
39.867062433047295,3594,North Island Naval Air Station-Halsey Field,San Diego,USA,NZY,KNZY,32.69919968,-117.2149963,26,-8,A,America/Los_Angeles,airport,Iran,Tijuana,MEX,Centro Xoloitzcuintle,32.4793,-116.8789
8.282086716334675,3594,North Island Naval Air Station-Halsey Field,San Diego,USA,NZY,KNZY,32.69919968,-117.2149963,26,-8,A,America/Los_Angeles,airport,New Zealand,San Diego,USA,University of San Diego - Torero Stadium,32.77,-117.1875
27.733360540358603,3594,North Island Naval Air Station-Halsey Field,San Diego,USA,NZY,KNZY,32.69919968,-117.2149963,26,-8,A,America/Los_Angeles,airport,Switzerland,San Diego,USA,SDJA,32.9481,-117.234
60.5448684254491,3614,Hill Air Force Base,Ogden,USA,HIF,KHIF,41.12403,-111.973086,4789,-7,A,America/Denver,airport,Bosnia and Herzegovina,Sandy,USA,RSL Stadium,40.5829,-111.8932
24.504754402082565,3616,Scappoose Industrial Airpark,San Luis,USA,\N,KSPB,45.770999908447266,-122.86199951171876,58,-8,A,America/Los_Angeles,airport,Jordan,Portland,USA,University of Portland,45.572,-122.7265
21.802811031099417,3617,St Petersburg Clearwater International Airport,St. Petersburg,USA,PIE,KPIE,27.91020012,-82.68740082,11,-5,A,America/New_York,airport,Cape Verde,Tampa,USA,Waters Sportsplex,28.039,-82.52
6.486616262327503,3624,Teterboro Airport,Teterboro,USA,TEB,KTEB,40.85010147089999,-74.060798645,9,-5,A,America/New_York,airport,Brazil,New York New Jersey,USA,Columbia Park Training Facility,40.792,-74.0539
48.26703022409664,3624,Teterboro Airport,Teterboro,USA,TEB,KTEB,40.85010147089999,-74.060798645,9,-5,A,America/New_York,airport,Morocco,New York New Jersey,USA,The Pingry School,40.668,-74.581
48.065983940432474,3624,Teterboro Airport,Teterboro,USA,TEB,KTEB,40.85010147089999,-74.060798645,9,-5,A,America/New_York,airport,Senegal,New York New Jersey,USA,Rutgers University,40.524,-74.435
22.626509740559197,3641,Theodore Francis Green State Airport,Providence,USA,PVD,KPVD,41.732601,-71.420403,55,-5,A,America/New_York,airport,Ghana,Boston,USA,Bryant University,41.9173,-71.535
7.178852739290139,3646,Tampa International Airport,Tampa,USA,TPA,KTPA,27.975500106811523,-82.533203125,26,-5,A,America/New_York,airport,Cape Verde,Tampa,USA,Waters Sportsplex,28.039,-82.52
57.425600855877406,3655,Mc Guire Air Force Base,Wrightstown,USA,WRI,KWRI,40.0155983,-74.59169769,131,-5,A,America/New_York,airport,Haiti,New York New Jersey,USA,Stockton University,39.501,-74.535
58.07388646905232,3655,Mc Guire Air Force Base,Wrightstown,USA,WRI,KWRI,40.0155983,-74.59169769,131,-5,A,America/New_York,airport,Senegal,New York New Jersey,USA,Rutgers University,40.524,-74.435
7.86921722034473,3666,Dobbins Air Reserve Base,Marietta,USA,MGE,KMGE,33.91540146,-84.51629639,1068,-5,A,America/New_York,airport,Uzbekistan,Atlanta,USA,Atlanta United Training Centre,33.969,-84.572
