country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
Ecuador,Curaçao,2026-06-21T00:00:00Z,home,0.7621264346688921,0.6351646333335227,129500000.0,822.5382001669119
Tunisia,Sweden,2026-06-15T02:00:00Z,away,0.2303034278712717,0.95151574087613,84000000.0,799.2732223359492
Tunisia,Japan,2026-06-21T04:00:00Z,home,0.2063945122249603,0.9341000177141868,84000000.0,784.6440148799169
Qatar,Bosnia & Herzegovina,2026-06-24T19:00:00Z,away,0.1876878971913115,0.9046642994229948,83200000.0,752.6806971199316
Senegal,Iraq,2026-06-26T19:00:00Z,home,0.6226511938281983,0.8333513543822001,87500000.0,729.182435084425
Iran,Belgium,2026-06-21T19:00:00Z,away,0.1276951676521056,0.7872954340641494,91000000.0,716.4388449983759
Ivory Coast,Germany,2026-06-20T20:00:00Z,away,0.1665755881080135,0.8513609739041146,84000000.0,715.1432180794562
Tunisia,Netherlands,2026-06-25T23:00:00Z,home,0.1573218135483119,0.8488460651185701,84000000.0,713.0306946995988
Sweden,Japan,2026-06-25T23:00:00Z,away,0.2654862663114107,0.9700610309490458,73500000.0,712.9948577475486
Sweden,Tunisia,2026-06-15T02:00:00Z,home,0.4876717327725951,0.95151574087613,73500000.0,699.3640695439557
Senegal,France,2026-06-16T19:00:00Z,away,0.1345417421605756,0.7972968356585639,87500000.0,697.6347312012434
Switzerland,Canada,2026-06-24T19:00:00Z,home,0.4590842483462938,0.9684804209972732,69600000.0,674.0623730141021
Sweden,Netherlands,2026-06-20T17:00:00Z,away,0.1884899093846842,0.8922434068419883,73500000.0,655.7989040288614
New Zealand,Belgium,2026-06-27T03:00:00Z,home,0.0965700992794248,0.6785819450862292,93600000.0,635.1527006007105
Czech Republic,South Korea,2026-06-12T02:00:00Z,away,0.3478887631404389,0.997461798367622,63000000.0,628.4009329716018
Qatar,Canada,2026-06-18T22:00:00Z,away,0.11014402169332,0.7511478446932925,83200000.0,624.9550067848194
Portugal,DR Congo,2026-06-17T17:00:00Z,home,0.7492260406717617,0.6607216920574163,94500000.0,624.3819989942583
Jordan,Algeria,2026-06-23T03:00:00Z,home,0.1791288177333712,0.8859016500337069,70000000.0,620.1311550235948
