#match,group,date,local_time,stadium,city,country,day,UTC_Offset,side,opponent,localtime,country_odds,opponent_odds,country_weighted,opponent_weighted,p_win,closeness,trends_interest_per_capita,game_weight_for_country,local_hour
59,D,2026-06-25,22.0,SoFi Stadium,Los Angeles,USA,3,-7,team_2,Türkiye,10.0,USA,Turkey,USA,Turkey,0.3749759171582426,0.99327277437497,5780000000.0,57411.16635887326,10
40,G,2026-06-21,21.0,BC Place,Vancouver,Egypt,2,-7,team_2,New Zealand,6.0,Egypt,New Zealand,Egypt,New Zealand,0.5483467032087167,0.9074930171798968,530000000.0,4809.712991053453,6
16,G,2026-06-15,21.0,SoFi Stadium,Los Angeles,New Zealand,1,-7,team_2,Iran,16.0,New Zealand,Iran,New Zealand,Iran,0.2201296266491334,0.9395625182202948,93600000.0,879.430517054196,16
66,G,2026-06-26,23.0,BC Place,Vancouver,Belgium,3,-7,team_2,New Zealand,7.0,Belgium,New Zealand,Belgium,New Zealand,0.7393917584828956,0.6785819450862292,69000000.0,468.2215421094981,7
38,G,2026-06-21,15.0,SoFi Stadium,Los Angeles,Iran,2,-7,team_2,Belgium,1.5,Iran,Belgium,Iran,Belgium,0.1276951676521056,0.7872954340641494,91000000.0,716.4388449983759,1
1,A,2026-06-11,15.0,Estadio Azteca,Mexico City,South Africa,1,-6,team_2,Mexico,23.0,South Africa,Mexico,South Africa,Mexico,0.1313039107361651,0.8066831362395448,1380000000.0,11132.227280105715,23
53,A,2026-06-24,21.0,Estadio Azteca,Mexico City,Mexico,3,-6,team_2,Czechia,21.0,Mexico,Czech Republic,Mexico,Czech Republic,0.469826752857522,0.9626170172651494,896000000.0,8625.048474695739,21
24,K,2026-06-17,22.0,Estadio Azteca,Mexico City,Colombia,1,-6,team_2,Uzbekistan,23.0,Colombia,Uzbekistan,Colombia,Uzbekistan,0.6730774525965205,0.770462070772218,260000000.0,2003.2013840077664,23
51,C,2026-06-24,18.0,Hard Rock Stadium,Miami,Brazil,3,-4,team_2,Scotland,19.0,Brazil,Scotland,Brazil,Scotland,0.6816529255453908,0.7620564601600168,645000000.0,4915.2641680321085,19
64,H,2026-06-26,20.0,Estadio Akron,Guadalajara,Spain,3,-6,team_2,Uruguay,3.0,Spain,Uruguay,Spain,Uruguay,0.5772187356121709,0.8834038776424702,240000000.0,2120.1693063419284,3
15,H,2026-06-15,18.0,Hard Rock Stadium,Miami,Uruguay,1,-4,team_2,Saudi Arabia,19.0,Uruguay,Saudi Arabia,Uruguay,Saudi Arabia,0.6285572477089322,0.8273040771552523,20400000.0,168.77003173967148,19
39,H,2026-06-21,18.0,Hard Rock Stadium,Miami,Cape Verde,2,-4,team_2,Uruguay,21.0,Cape Verde,Uruguay,Cape Verde,Uruguay,0.1320533825842006,0.7970538613210656,580000.0,4.622912395662181,21
69,K,2026-06-27,19.5,Hard Rock Stadium,Miami,Portugal,3,-4,team_2,Colombia,23.5,Portugal,Colombia,Portugal,Colombia,0.4392895736973927,0.9778908132968446,94500000.0,924.106818565518,23
6,C,2026-06-13,18.0,MetLife Stadium,New Jersey,Morocco,1,-4,team_2,Brazil,23.0,Morocco,Brazil,Morocco,Brazil,0.1715874761840793,0.8727022058835693,333000000.0,2906.098345592286,23
