match,group,date,time,tz,team1,team2,stadium,city_name,country,lat,lon,kickoff,temperature_2m,relative_humidity_2m,elevation,apparent_temperature,team1_camp_name,team1_camp_latitude,team1_camp_longitude,team1_orig_team,team1_elevation,team1_temperature_2m,team1_relative_humidity_2m,team1_apparent_temperature,team2_camp_name,team2_camp_latitude,team2_camp_longitude,team2_orig_team,team2_elevation,team2_temperature_2m,team2_relative_humidity_2m,team2_apparent_temperature
36,F,2026-06-20,22:00,UTC-6,Tunisia,Japan,Estadio BBVA,Guadalupe,Mexico,25.669,-100.247,2026-06-20 22:00:00,27.0,67.0,494.0,29.08666666666667,Rayados Training Centre,25.694199,-100.28293,Tunisia,479.0,28.17890350877193,61.907456140350874,30.49228070175438,Nashville SC,36.098415,-86.73151,Japan,155.0,25.293377192982454,69.73201754385966,27.671622807017545
57,F,2026-06-25,18:00,UTC-5,Japan,Sweden,AT&T Stadium,Dallas,USA,32.748,-97.093,2026-06-25 18:00:00,35.19333333333334,41.6,193.0,36.74,Nashville SC,36.098415,-86.73151,Japan,155.0,25.293377192982454,69.73201754385966,27.671622807017545,FC Dallas Stadium,33.14587,-96.863464,Sweden,186.0,28.6184649122807,66.05570175438596,31.31171052631579
58,F,2026-06-25,18:00,UTC-5,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,USA,39.049,-94.484,2026-06-25 18:00:00,30.213333333333335,57.13333333333333,259.0,31.90666666666667,Rayados Training Centre,25.694199,-100.28293,Tunisia,479.0,28.17890350877193,61.907456140350874,30.49228070175438,KC Current Training Facility,39.121265,-94.57419,Netherlands,227.0,25.764517543859647,66.40263157894736,27.63188596491228
16,G,2026-06-15,12:00,UTC-7,Belgium,Egypt,Lumen Field,Seattle,USA,47.595,-122.332,2026-06-15 12:00:00,15.859999999999998,62.4,10.0,14.48,Seattle Sounders FC Performance Centre and Clubhouse,47.486816,-122.21675,Belgium,42.0,15.938026315789472,72.1171052631579,14.965350877192982,Gonzaga University,47.627415,-117.42999,Egypt,584.0,18.860526315789475,46.23991228070175,16.49184210526316
15,G,2026-06-15,18:00,UTC-7,Iran,New Zealand,SoFi Stadium,Inglewood,USA,33.953,-118.339,2026-06-15 18:00:00,23.386666666666667,55.13333333333333,38.0,22.493333333333336,Centro Xoloitzcuintle,32.442883,-116.90158,Iran,164.0,19.72802631578947,68.69692982456141,20.036184210526315,University of San Diego - Torero Stadium,32.794376,-117.17604,New Zealand,66.0,18.876447368421054,75.65438596491228,19.373464912280703
39,G,2026-06-21,12:00,UTC-7,Belgium,Iran,SoFi Stadium,Inglewood,USA,33.953,-118.339,2026-06-21 12:00:00,26.10666666666667,42.733333333333334,38.0,26.893333333333327,Seattle Sounders FC Performance Centre and Clubhouse,47.486816,-122.21675,Belgium,42.0,15.938026315789472,72.1171052631579,14.965350877192982,Centro Xoloitzcuintle,32.442883,-116.90158,Iran,164.0,19.72802631578947,68.69692982456141,20.036184210526315
40,G,2026-06-21,18:00,UTC-7,New Zealand,Egypt,BC Place,Vancouver,Canada,49.277,-123.112,2026-06-21 18:00:00,19.040000000000003,69.73333333333333,18.0,18.94,University of San Diego - Torero Stadium,32.794376,-117.17604,New Zealand,66.0,18.876447368421054,75.65438596491228,19.373464912280703,Gonzaga University,47.627415,-117.42999,Egypt,584.0,18.860526315789475,46.23991228070175,16.49184210526316
63,G,2026-06-26,20:00,UTC-7,Egypt,Iran,Lumen Field,Seattle,USA,47.595,-122.332,2026-06-26 20:00:00,20.98,65.26666666666667,10.0,20.326666666666664,Gonzaga University,47.627415,-117.42999,Egypt,584.0,18.860526315789475,46.23991228070175,16.49184210526316,Centro Xoloitzcuintle,32.442883,-116.90158,Iran,164.0,19.72802631578947,68.69692982456141,20.036184210526315
64,G,2026-06-26,20:00,UTC-7,New Zealand,Belgium,BC Place,Vancouver,Canada,49.277,-123.112,2026-06-26 20:00:00,20.46,69.4,18.0,20.68,University of San Diego - Torero Stadium,32.794376,-117.17604,New Zealand,66.0,18.876447368421054,75.65438596491228,19.373464912280703,Seattle Sounders FC Performance Centre and Clubhouse,47.486816,-122.21675,Belgium,42.0,15.938026315789472,72.1171052631579,14.965350877192982
14,H,2026-06-15,12:00,UTC-4,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401,2026-06-15 12:00:00,29.46,57.13333333333333,316.0,32.77333333333334,Baylor School,35.114235,-85.29935,Spain,270.0,24.355745614035087,70.84210526315789,26.719342105263156,Waters Sportsplex,28.01406,-82.48306,Cape Verde,13.0,27.143903508771928,77.81491228070175,31.200701754385967
