month,day,hour,stadium,city,latitude,longitude,utc_offset_seconds,timezone,timezone_abbreviation,elevation,temperature_2m,relative_humidity_2m,apparent_temperature
6,16,13,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,22.566666666666666,56.266666666666666,23.019999999999992
6,16,14,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,23.046666666666667,55.0,23.55333333333333
6,16,15,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,23.41333333333333,53.13333333333333,23.633333333333333
6,16,16,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,23.75333333333333,50.666666666666664,23.406666666666663
6,16,17,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,23.27333333333333,51.333333333333336,22.373333333333335
6,16,18,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,22.34,53.93333333333333,21.02
6,16,19,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.26,56.6,19.826666666666664
6,16,20,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.10666666666667,58.86666666666667,18.740000000000002
6,16,21,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.066666666666666,60.4,17.68
6,16,22,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.186666666666667,62.2,16.759999999999998
6,16,23,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.233333333333334,64.8,15.733333333333329
6,17,0,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.5,66.6,16.166666666666668
6,17,1,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.666666666666668,67.8,15.326666666666666
6,17,2,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.206666666666667,69.86666666666666,14.846666666666666
6,17,3,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.600000000000001,72.86666666666666,14.359999999999998
